nombre,marca,precio_venta,genero,volumen_ml,concentracion,imagen_url,descripcion_corta
"Zayed Eau de Parfum","Bagues",19999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/Transparente_0000_Zayed.png?v=1763050712","Un perfume que celebra el encanto y la elegancia de la mujer contemporánea. Delicado y sofisticado, combina frescura, sensualidad y una impronta floral inolvidable"
"Marrakech Eau de Parfum","Bagues",19999,"Unisex",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BMARRA50_1_37c35336-afea-433b-bd45-0f91f78c33aa.png?v=1756851105","Una fragancia envolvente y luminosa que invita a viajar con los sentidos. Desde el primer instante, una brisa fresca de cítricos —naranja siciliana, bergamota de Calabria y lima siciliana— despierta la piel con su energía chispeante y vibrante. Luego, el corazón se transforma en una explosión frutal, jugosa y acuosa, que evoca un paraíso tropical donde la alegría y la vitalidad se sienten en el..."
"Sahara Eau de Parfum","Bagues",19999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BSAHAR50_1_8e631804-4860-4692-8d7d-1b8f6b505e45.png?v=1756851280","Un tributo a la sensualidad audaz y encantadora, Sahara es una fragancia que cautiva desde el primer instante. Con un susurro floral de orquídea y heliotropo, esta creación despierta como una flor al amanecer en medio del desierto. La mandarina fresca aporta una chispa jugosa y vibrante que acaricia la piel como un rayo de sol dorado en el horizonte. En su corazón, un exquisito acorde gourmand ..."
"Shali Eau de Parfum","Bagues",19999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BSAHCA50_1_e8450f1c-96c4-41bf-952a-d66cb270b270.png?v=1756851297","En el corazón del desierto, un jardín secreto florece entre jazmines y rosas. La dulzura de la mandarina y la pera se funde con vainilla y sándalo, en un atardecer cálido que despierta los sentidos. Una fragancia floral frutal gourmand que combina notas golosas y luminosas con una estela envolvente y seductora."
"Dubai Eau de Parfum","Bagues",19999,"Masculino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BDUBAI50_1_77aa1615-8546-4849-8eca-97c18e963b4c.png?v=1756850964","Una fragancia intensa y enigmática que encarna el lujo y la audacia del espíritu moderno. Desde el primer instante, la pimienta roja despierta la piel con un cosquilleo especiado y vibrante, suavizado por el frescor cítrico de la bergamota, creando una entrada provocadora e inesperada. El corazón florece con una opulenta combinación de rosa turca y rosa búlgara, exaltadas por la presencia delic..."
"Doha Eau de Parfum","Bagues",19999,"Femenino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BADOHA50_1_0af431fc-7c74-4863-bc0e-f84aced67a97.png?v=1756850961","Un amanecer dorado se despliega con la frescura jugosa de una manzana recién cortada, mientras el delicado litchi y los pétalos de rosa turca perfuman el aire con elegancia y encanto. Esta entrada luminosa y vibrante despierta los sentidos y da paso a un corazón seductor y profundo. En su centro, una fusión de ciruela madura y jazmín florece con intensidad, desplegando una personalidad intensa,..."
"Al Hamra Eau de Parfum","Bagues",19999,"Masculino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/FotoProducto_0021_Al-Hamra_frasco_frente_transparente_montaje.png?v=1765293984","Un perfume cautivante que combina la calidez del coñac con un corazón especiado de canela y roble. Su fondo dulce de vainilla, praliné y almendras acarameladas envuelve los sentidos en una estela irresistible, elegante y adictiva."
"Abu Dabi Eau de Parfum","Bagues",19999,"Masculino",50,"EDP","https://cdn.shopify.com/s/files/1/0621/1944/4614/files/BABUDA50_1_921dab1d-3d83-45cf-b692-4df63bb60054.png?v=1756850777","Una fragancia que evoca la esencia del lujo y la sofisticación, con un carácter imponente y elegante. Abu Dabi te invita a sumergirte en una experiencia olfativa profunda, intensa y majestuosa, inspirada en el arte de la perfumería oriental. Desde el inicio, las notas de azafrán, nuez moscada y lavanda despiertan los sentidos con su energía vibrante. En el corazón, el oud despliega toda su prof..."
